mnemonic,destination,source,encoder
aaa,,,"[37]"
aad,,,"[d5 0a]"
aad,imm,,"[i: d5 ib]"
aam,,,"[d4 0a]"
aam,imm,,"[i: d4 ib]"
aas,,,"[3f]"
adc,mem,reg8,"[mr: 10 /r]"
adc,reg8,reg8,"[mr: 10 /r]"
adc,mem,reg16,"[mr: 11 /r]"
adc,reg16,reg16,"[mr: 11 /r]"
adc,reg8,mem,"[rm: 12 /r]"
adc,reg8,reg8,"[rm: 12 /r]"
adc,reg16,mem,"[rm: 13 /r]"
adc,reg16,reg16,"[rm: 13 /r]"
adc,rm16,imm8,"[mi: 83 /2 ibs]"
adc,al,imm,"[-i: 14 ib]"
adc,ax,sbyteword,"[mi: 83 /2 ibs]"
adc,ax,imm,"[-i: 15 iw]"
adc,rm8,imm,"[mi: 80 /2 ib]"
adc,rm16,sbyteword,"[mi: 83 /2 ibs]"
adc,rm16,imm,"[mi: 81 /2 iw]"
adc,mem,imm8,"[mi: 80 /2 ib]"
adc,mem,sbyteword16,"[mi: 83 /2 ibs]"
adc,mem,imm16,"[mi: 81 /2 iw]"
adc,rm8,imm,"[mi: 82 /2 ib]"
add,mem,reg8,"[mr: 00 /r]"
add,reg8,reg8,"[mr: 00 /r]"
add,mem,reg16,"[mr: 01 /r]"
add,reg16,reg16,"[mr: 01 /r]"
add,reg8,mem,"[rm: 02 /r]"
add,reg8,reg8,"[rm: 02 /r]"
add,reg16,mem,"[rm: 03 /r]"
add,reg16,reg16,"[rm: 03 /r]"
add,rm16,imm8,"[mi: 83 /0 ibs]"
add,al,imm,"[-i: 04 ib]"
add,ax,sbyteword,"[mi: 83 /0 ibs]"
add,ax,imm,"[-i: 05 iw]"
add,rm8,imm,"[mi: 80 /0 ib]"
add,rm16,sbyteword,"[mi: 83 /0 ibs]"
add,rm16,imm,"[mi: 81 /0 iw]"
add,mem,imm8,"[mi: 80 /0 ib]"
add,mem,sbyteword16,"[mi: 83 /0 ibs]"
add,mem,imm16,"[mi: 81 /0 iw]"
add,rm8,imm,"[mi: 82 /0 ib]"
and,mem,reg8,"[mr: 20 /r]"
and,reg8,reg8,"[mr: 20 /r]"
and,mem,reg16,"[mr: 21 /r]"
and,reg16,reg16,"[mr: 21 /r]"
and,reg8,mem,"[rm: 22 /r]"
and,reg8,reg8,"[rm: 22 /r]"
and,reg16,mem,"[rm: 23 /r]"
and,reg16,reg16,"[rm: 23 /r]"
and,rm16,imm8,"[mi: 83 /4 ibs]"
and,al,imm,"[-i: 24 ib]"
and,ax,sbyteword,"[mi: 83 /4 ibs]"
and,ax,imm,"[-i: 25 iw]"
and,rm8,imm,"[mi: 80 /4 ib]"
and,rm16,sbyteword,"[mi: 83 /4 ibs]"
and,rm16,imm,"[mi: 81 /4 iw]"
and,mem,imm8,"[mi: 80 /4 ib]"
and,mem,sbyteword16,"[mi: 83 /4 ibs]"
and,mem,imm16,"[mi: 81 /4 iw]"
and,rm8,imm,"[mi: 82 /4 ib]"
call,imm,,"[i: e8 rel]"
call,imm,,"[i: e8 rel] near"
call,imm,,"[i: 9a iwd seg] far"
call,imm16,,"[i: e8 rel]"
call,imm16,,"[i: e8 rel] near"
call,imm16,,"[i: 9a iwd seg] far"
call,seg_off,,"[ji: 9a iwd iw]"
call,seg_off,,"[ji: 9a iw iw]"
call,seg_off,,"[ji: 9a iw iw]"
call,mem,,"[m: ff /3] far"
call,mem16,,"[m: ff /3] far"
call,mem,,"[m: ff /2] near"
call,rm16,,"[m: ff /2] near"
call,mem,,"[m: ff /2]"
call,rm16,,"[m: ff /2]"
cbw,,,"[98]"
clc,,,"[f8]"
cld,,,"[fc]"
cli,,,"[fa]"
cmc,,,"[f5]"
cmp,mem,reg8,"[mr: 38 /r]"
cmp,reg8,reg8,"[mr: 38 /r]"
cmp,mem,reg16,"[mr: 39 /r]"
cmp,reg16,reg16,"[mr: 39 /r]"
cmp,reg8,mem,"[rm: 3a /r]"
cmp,reg8,reg8,"[rm: 3a /r]"
cmp,reg16,mem,"[rm: 3b /r]"
cmp,reg16,reg16,"[rm: 3b /r]"
cmp,rm16,imm8,"[mi: 83 /7 ibs]"
cmp,al,imm,"[-i: 3c ib]"
cmp,ax,sbyteword,"[mi: 83 /7 ibs]"
cmp,ax,imm,"[-i: 3d iw]"
cmp,rm8,imm,"[mi: 80 /7 ib]"
cmp,rm16,sbyteword,"[mi: 83 /7 ibs]"
cmp,rm16,imm,"[mi: 81 /7 iw]"
cmp,mem,imm8,"[mi: 80 /7 ib]"
cmp,mem,sbyteword16,"[mi: 83 /7 ibs]"
cmp,mem,imm16,"[mi: 81 /7 iw]"
cmp,rm8,imm,"[mi: 82 /7 ib]"
cmpsb,,,"[repe a6]"
cmpsw,,,"[repe a7]"
cwd,,,"[99]"
daa,,,"[27]"
das,,,"[2f]"
dec,reg16,,"[r: 48+r]"
dec,rm8,,"[m: fe /1]"
dec,rm16,,"[m: ff /1]"
div,rm8,,"[m: f6 /6]"
div,rm16,,"[m: f7 /6]"
hlt,,,"[f4]"
idiv,rm8,,"[m: f6 /7]"
idiv,rm16,,"[m: f7 /7]"
imul,rm8,,"[m: f6 /5]"
imul,rm16,,"[m: f7 /5]"
in,al,imm,"[-i: e4 ib]"
in,ax,imm,"[-i: e5 ib]"
in,al,dx,"[ec]"
in,ax,dx,"[ed]"
inc,reg16,,"[r: 40+r]"
inc,rm8,,"[m: fe /0]"
inc,rm16,,"[m: ff /0]"
int,imm,,"[i: cd ib]"
int03,,,"[cc]"
int3,,,"[cc]"
into,,,"[ce]"
iret,,,"[cf]"
jcxz,imm,,"[i: e3 rel8]"
jmp,imm,,"[i: eb rel8] short"
jmp,imm,,"[i: jmp8 eb rel8]"
jmp,imm,,"[i: e9 rel]"
jmp,imm,,"[i: e9 rel] near"
jmp,imm,,"[i: ea iwd seg] far"
jmp,imm16,,"[i: e9 rel]"
jmp,imm16,,"[i: e9 rel] near"
jmp,imm16,,"[i: ea iwd seg] far"
jmp,seg_off,,"[ji: ea iwd iw]"
jmp,seg_off,,"[ji: ea iw iw]"
jmp,seg_off,,"[ji: ea iw iw]"
jmp,mem,,"[m: ff /5] far"
jmp,mem16,,"[m: ff /5] far"
jmp,mem,,"[m: ff /4] near"
jmp,rm16,,"[m: ff /4] near"
jmp,mem,,"[m: ff /4]"
jmp,rm16,,"[m: ff /4]"
lahf,,,"[9f]"
lds,reg16,mem,"[rm: c5 /r]"
